id,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,release_date,speechiness,tempo,valence,year,duration-min,popularity
2015,0.949,0.235,0.0276,No,0.927,5,0.513,-27.398,Major,01-01-1947,0.0381,110.838,0.0398,1947,3,very low
15901,0.855,0.456,0.485,No,0.0884,4,0.151,-10.046,Major,13-11-2020,0.0437,152.066,0.859,2020,2.4,low
9002,0.827,0.495,0.499,No,0,0,0.401,-8.009,Minor,01-01-1950,0.0474,108.004,0.709,1950,2.6,very low
6734,0.654,0.643,0.469,No,0.108,7,0.218,-15.917,Major,30-04-1974,0.0368,83.636,0.964,1974,2.4,low
15563,0.738,0.705,0.311,No,0,5,0.322,-12.344,Major,01-01-1973,0.0488,117.26,0.785,1973,3.4,average
14384,0.898,0.498,0.442,No,0.00319,10,0.0974,-9.481,Major,01-01-1968,0.0337,109.619,0.355,1968,2.6,low
954,0.259,0.62,0.758,No,0.00132,5,0.416,-8.183,Major,13-11-1942,0.0343,119.258,0.912,1942,2.4,very low
5930,0.124,0.879,0.628,Yes,0,1,0.0661,-6.668,Minor,01-01-2005,0.264,150.105,0.721,2005,3.5,average
11900,0.149,0.697,0.184,Yes,0,2,0.0763,-23.303,Minor,01-01-1945,0.933,133.997,0.613,1945,1.6,very low
14498,0.47,0.587,0.566,No,0,9,0.0644,-9.932,Major,01-01-1999,0.0276,76.054,0.529,1999,7.7,high
2411,0.02,0.671,0.808,No,0,2,0.134,-4.861,Minor,16-09-2011,0.0652,121.956,0.637,2011,3.4,high
13448,3.36E-05,0.496,0.834,No,0.0344,2,0.127,-6.626,Minor,14-12-2018,0.0521,131.998,0.484,2018,1.5,very low
5068,0.0878,0.628,0.685,No,0.0136,7,0.0542,-14.747,Major,01-11-1969,0.035,134.324,0.813,1969,3.4,low
12068,0.624,0.66,0.746,No,1.49E-06,11,0.946,-7.696,Minor,01-01-1980,0.04,123.747,0.797,1980,4.1,average
